Month,Car_Model,Segment,Fuel_Type,Transmission,Ex_Showroom_Price_Lakh,Units_Sold,Revenue_Crores,Mileage_KMPL,Customer_Rating,Annual_Service_Cost_INR,Safety_Rating_Stars
2020-04,Eeco,MPV,Petrol/CNG,Manual,5.63,4893.0,275.48,20.36,4.4,9728.0,4.0
2020-04,Ertiga,MPV,Petrol/CNG,Manual/AT,9.15,4440.0,406.26,20.37,4.5,14190.0,5.0
2020-04,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.3,5849.0,543.96,21.51,4.4,5893.0,4.0
2020-04,Swift,Hatchback,Petrol,Manual/AMT,6.83,8296.0,566.62,24.38,3.5,7518.0,3.0
2020-04,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.64,7800.0,439.92,23.69,3.9,13030.0,3.0
2020-04,XL6,MPV,Petrol/CNG,Manual/AT,11.9,5321.0,633.2,20.57,4.0,11783.0,5.0
2020-05,Alto K10,Hatchback,Petrol,Manual,4.2,7303.0,306.73,23.24,4.0,10234.0,3.0
2020-05,Baleno,Hatchback,Petrol,Manual/AMT,8.08,8620.0,696.5,22.86,4.6,12517.0,5.0
2020-05,Brezza,SUV,Petrol/CNG,Manual/AT,10.6,5797.0,614.48,18.98,4.9,9413.0,5.0
2020-05,Ciaz,Sedan,Petrol,Manual,8.96,3987.0,357.24,20.47,4.6,9944.0,5.0
2020-05,Dzire,Sedan,Petrol,Manual/AMT,7.41,4160.0,308.26,22.99,4.0,9572.0,4.0
2020-05,Eeco,MPV,Petrol/CNG,Manual,5.7,4562.0,260.03,20.7,4.2,8937.0,4.0
2020-05,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.9,4960.0,491.04,21.16,3.4,11899.0,4.0
2020-05,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,12.4,7240.0,897.76,20.23,4.2,11872.0,5.0
2020-05,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.71,7883.0,371.29,23.83,4.3,11854.0,4.0
2020-05,Swift,Hatchback,Petrol,Manual/AMT,6.78,7437.0,504.23,23.25,5.0,8613.0,3.0
2020-05,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.43,7291.0,395.9,23.59,3.8,14037.0,3.0
2020-05,XL6,MPV,Petrol/CNG,Manual/AT,11.54,4162.0,480.29,21.07,4.4,8356.0,5.0
2020-06,Alto K10,Hatchback,Petrol,Manual,4.28,7320.0,313.3,24.11,3.1,12690.0,3.0
2020-06,Baleno,Hatchback,Petrol,Manual/AMT,7.18,8347.0,599.31,23.24,3.8,10096.0,5.0
2020-06,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.08,8993.0,456.84,27.26,4.0,9071.0,3.0
2020-06,Ciaz,Sedan,Petrol,Manual,9.46,4117.0,389.47,20.29,4.2,11306.0,5.0
2020-06,Dzire,Sedan,Petrol,Manual/AMT,7.96,3537.0,281.55,23.7,4.2,9015.0,4.0
2020-06,Eeco,MPV,Petrol/CNG,Manual,5.31,4083.0,216.81,20.01,3.8,8961.0,4.0
2020-06,Ertiga,MPV,Petrol/CNG,Manual/AT,9.0,3859.0,347.31,20.78,4.5,12254.0,5.0
2020-06,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,7.87,6596.0,519.11,21.41,4.5,5528.0,4.0
2020-06,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,12.36,6374.0,787.83,20.51,3.8,10718.0,5.0
2020-06,Swift,Hatchback,Petrol,Manual/AMT,6.95,8559.0,594.85,23.22,3.8,14360.0,3.0
2020-06,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.74,7664.0,439.91,23.83,4.0,10354.0,3.0
2020-06,XL6,MPV,Petrol/CNG,Manual/AT,11.47,4920.0,564.32,21.1,3.8,10950.0,5.0
2020-07,Alto K10,Hatchback,Petrol,Manual,4.51,7427.0,334.96,24.37,5.0,11854.0,3.0
2020-07,Baleno,Hatchback,Petrol,Manual/AMT,7.11,6436.0,457.6,22.67,4.7,8497.0,5.0
2020-07,Brezza,SUV,Petrol/CNG,Manual/AT,9.86,5944.0,586.08,20.49,3.3,6699.0,5.0
2020-07,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.6,8178.0,457.97,26.46,4.7,9231.0,3.0
2020-07,Dzire,Sedan,Petrol,Manual/AMT,7.34,4256.0,312.39,23.25,5.0,9328.0,4.0
2020-07,Eeco,MPV,Petrol/CNG,Manual,5.56,4055.0,225.46,20.51,4.6,7657.0,4.0
2020-07,Ertiga,MPV,Petrol/CNG,Manual/AT,8.78,3410.0,299.4,21.11,4.3,16355.0,5.0
2020-07,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.2,6725.0,618.7,21.98,4.4,12671.0,4.0
2020-07,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,14.37,7218.0,1037.23,20.74,4.2,11838.0,5.0
2020-07,Swift,Hatchback,Petrol,Manual/AMT,6.43,8548.0,549.64,23.75,4.6,7572.0,3.0
2020-07,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.5,6842.0,376.31,23.52,4.1,9731.0,3.0
2020-08,Brezza,SUV,Petrol/CNG,Manual/AT,9.36,6954.0,650.89,18.42,4.7,8959.0,5.0
2020-08,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.24,7122.0,373.19,26.23,4.2,8946.0,3.0
2020-08,Dzire,Sedan,Petrol,Manual/AMT,7.4,3589.0,265.59,23.76,4.8,8471.0,4.0
2020-08,Eeco,MPV,Petrol/CNG,Manual,5.35,5072.0,271.35,19.33,4.3,10339.0,4.0
2020-08,Ertiga,MPV,Petrol/CNG,Manual/AT,8.77,4421.0,387.72,20.36,3.7,10530.0,5.0
2020-08,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,7.95,6640.0,527.88,21.11,5.0,9270.0,4.0
2020-08,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,12.14,5864.0,711.89,21.29,4.6,10067.0,5.0
2020-08,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.5,7867.0,354.01,25.44,3.6,11545.0,4.0
2020-08,Swift,Hatchback,Petrol,Manual/AMT,7.14,7879.0,562.56,23.87,3.4,10432.0,3.0
2020-08,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.86,8090.0,474.07,23.77,4.8,6574.0,3.0
2020-08,XL6,MPV,Petrol/CNG,Manual/AT,11.04,4192.0,462.8,20.98,3.9,10114.0,5.0
2020-09,Alto K10,Hatchback,Petrol,Manual,4.26,6744.0,287.29,23.8,3.6,7802.0,3.0
2020-09,Brezza,SUV,Petrol/CNG,Manual/AT,11.78,6016.0,708.68,20.68,4.0,9571.0,5.0
2020-09,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.75,7594.0,436.65,27.83,4.5,10078.0,3.0
2020-09,Ciaz,Sedan,Petrol,Manual,9.16,3562.0,326.28,20.39,4.1,9615.0,5.0
2020-09,Dzire,Sedan,Petrol,Manual/AMT,7.45,4002.0,298.15,22.9,4.8,11168.0,4.0
2020-09,Eeco,MPV,Petrol/CNG,Manual,5.57,4730.0,263.46,19.94,3.5,10591.0,4.0
2020-09,Ertiga,MPV,Petrol/CNG,Manual/AT,9.73,4177.0,406.42,19.87,4.5,11545.0,5.0
2020-09,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.08,6694.0,607.82,21.76,4.3,9036.0,4.0
2020-09,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,11.57,5934.0,686.56,20.86,3.8,12922.0,5.0
2020-09,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.55,7612.0,346.35,26.21,4.5,11697.0,4.0
2020-09,Swift,Hatchback,Petrol,Manual/AMT,7.65,7932.0,606.8,24.18,4.6,7854.0,3.0
2020-09,WagonR,Hatchback,Petrol/CNG,Manual/AMT,6.21,7563.0,469.66,23.42,5.0,9360.0,3.0
2020-10,Alto K10,Hatchback,Petrol,Manual,4.66,7570.0,352.76,24.21,4.6,9904.0,3.0
2020-10,Baleno,Hatchback,Petrol,Manual/AMT,7.49,8137.0,609.46,24.17,4.0,8920.0,5.0
2020-10,Brezza,SUV,Petrol/CNG,Manual/AT,9.03,6769.0,611.24,20.85,4.0,8542.0,5.0
2020-10,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.48,8096.0,443.66,25.78,4.0,9386.0,3.0
2020-10,Ciaz,Sedan,Petrol,Manual,8.76,3873.0,339.27,20.71,4.4,9442.0,5.0
2020-10,Dzire,Sedan,Petrol,Manual/AMT,6.89,3543.0,244.11,23.15,4.0,10083.0,4.0
2020-10,Eeco,MPV,Petrol/CNG,Manual,5.33,4615.0,245.98,19.98,4.6,8350.0,4.0
2020-10,Ertiga,MPV,Petrol/CNG,Manual/AT,10.29,4330.0,445.56,21.27,4.4,12419.0,5.0
2020-10,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.72,6570.0,638.6,22.27,4.8,8501.0,4.0
2020-10,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,12.51,6973.0,872.32,20.56,4.4,11008.0,5.0
2020-10,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.66,7936.0,369.82,24.31,4.7,10791.0,4.0
2020-10,Swift,Hatchback,Petrol,Manual/AMT,7.33,8071.0,591.6,24.4,4.6,6272.0,3.0
2020-10,XL6,MPV,Petrol/CNG,Manual/AT,10.94,4219.0,461.56,21.16,4.0,5318.0,5.0
2020-11,Alto K10,Hatchback,Petrol,Manual,4.27,9022.0,385.24,23.56,3.1,7666.0,3.0
2020-11,Baleno,Hatchback,Petrol,Manual/AMT,7.58,8104.0,614.28,22.86,4.1,7971.0,5.0
2020-11,Brezza,SUV,Petrol/CNG,Manual/AT,11.17,5445.0,608.21,19.09,4.0,9161.0,5.0
2020-11,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.42,7216.0,391.11,27.61,4.5,9022.0,3.0
2020-11,Ciaz,Sedan,Petrol,Manual,9.07,4095.0,371.42,20.8,4.5,10073.0,5.0
2020-11,Dzire,Sedan,Petrol,Manual/AMT,7.49,3923.0,293.83,24.07,4.6,8787.0,4.0
2020-11,Eeco,MPV,Petrol/CNG,Manual,5.41,3806.0,205.9,20.06,3.9,8456.0,4.0
2020-11,Ertiga,MPV,Petrol/CNG,Manual/AT,8.35,3906.0,326.15,19.35,4.7,10063.0,5.0
2020-11,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,8.39,6176.0,518.17,21.74,3.8,8391.0,4.0
2020-11,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,12.33,6341.0,781.85,19.83,4.1,9946.0,5.0
2020-11,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.33,7718.0,334.19,26.45,4.7,13481.0,4.0
2020-11,Swift,Hatchback,Petrol,Manual/AMT,7.67,7913.0,606.93,23.43,4.3,10702.0,3.0
2020-11,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.87,7454.0,437.55,24.29,4.4,13588.0,3.0
2020-11,XL6,MPV,Petrol/CNG,Manual/AT,11.6,4181.0,485.0,20.71,3.7,8551.0,5.0
2020-12,Alto K10,Hatchback,Petrol,Manual,4.41,9203.0,405.85,25.05,4.5,9662.0,3.0
2020-12,Baleno,Hatchback,Petrol,Manual/AMT,7.33,8374.0,613.81,22.66,4.7,9766.0,5.0
2020-12,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.58,8992.0,501.75,26.43,3.7,7999.0,3.0
2020-12,Ciaz,Sedan,Petrol,Manual,9.44,4339.0,409.6,20.42,4.5,8811.0,5.0
2020-12,Dzire,Sedan,Petrol,Manual/AMT,6.94,3942.0,273.57,23.96,4.4,11935.0,4.0
2020-12,Eeco,MPV,Petrol/CNG,Manual,5.63,3655.0,205.78,19.77,3.7,6387.0,4.0
2020-12,Ertiga,MPV,Petrol/CNG,Manual/AT,10.36,3900.0,404.04,20.6,3.5,11446.0,5.0
2020-12,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.17,5298.0,485.83,22.24,4.1,11895.0,4.0
2020-12,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.71,8192.0,385.84,25.93,4.5,11163.0,4.0
2020-12,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.6,6530.0,365.68,24.09,4.4,14279.0,3.0
2020-12,XL6,MPV,Petrol/CNG,Manual/AT,11.47,4896.0,561.57,20.43,4.2,8290.0,5.0
2021-01,Alto K10,Hatchback,Petrol,Manual,4.56,8220.0,374.83,24.64,4.5,14555.0,3.0
2021-01,Brezza,SUV,Petrol/CNG,Manual/AT,10.57,5678.0,600.16,20.97,3.8,9952.0,5.0
2021-01,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.65,8530.0,481.94,26.98,4.5,10158.0,3.0
2021-01,Ciaz,Sedan,Petrol,Manual,9.76,3833.0,374.1,20.81,4.6,9930.0,5.0
2021-01,Dzire,Sedan,Petrol,Manual/AMT,7.59,4078.0,309.52,23.47,3.8,7713.0,4.0
2021-01,Eeco,MPV,Petrol/CNG,Manual,5.49,3658.0,200.82,19.6,3.6,13980.0,4.0
2021-01,Ertiga,MPV,Petrol/CNG,Manual/AT,10.7,4003.0,428.32,21.45,4.3,14341.0,5.0
2021-01,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,8.49,5323.0,451.92,22.25,5.0,10453.0,4.0
2021-01,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,14.16,6972.0,987.24,21.22,4.2,11802.0,5.0
2021-01,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.35,8199.0,356.66,24.56,3.9,13235.0,4.0
2021-01,Swift,Hatchback,Petrol,Manual/AMT,6.8,7399.0,503.13,24.13,4.0,9370.0,3.0
2021-01,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.86,7303.0,427.96,23.35,4.4,10608.0,3.0
2021-02,Alto K10,Hatchback,Petrol,Manual,4.63,8098.0,374.94,23.91,3.9,7683.0,3.0
2021-02,Baleno,Hatchback,Petrol,Manual/AMT,7.32,7761.0,568.11,23.5,5.0,8976.0,5.0
2021-02,Brezza,SUV,Petrol/CNG,Manual/AT,9.3,7606.0,707.36,19.29,4.4,9711.0,5.0
2021-02,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.54,8362.0,463.25,26.62,3.7,9993.0,3.0
2021-02,Ciaz,Sedan,Petrol,Manual,9.34,4835.0,451.59,20.36,5.0,11145.0,5.0
2021-02,Dzire,Sedan,Petrol,Manual/AMT,8.18,4018.0,328.67,23.38,3.9,9326.0,4.0
2021-02,Eeco,MPV,Petrol/CNG,Manual,5.67,4334.0,245.74,20.13,3.6,5117.0,4.0
2021-02,Ertiga,MPV,Petrol/CNG,Manual/AT,10.28,4720.0,485.22,19.9,4.6,15723.0,5.0
2021-02,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.0,6452.0,580.68,22.02,4.3,9587.0,4.0
2021-02,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,10.66,6421.0,684.48,20.51,4.8,7945.0,5.0
2021-02,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.51,8053.0,363.19,26.05,4.4,12091.0,4.0
2021-02,Swift,Hatchback,Petrol,Manual/AMT,7.41,8332.0,617.4,23.65,3.7,7845.0,3.0
2021-02,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.32,8467.0,450.44,23.1,3.2,10635.0,3.0
2021-02,XL6,MPV,Petrol/CNG,Manual/AT,12.37,4681.0,579.04,20.91,4.3,11415.0,5.0
2021-03,Alto K10,Hatchback,Petrol,Manual,4.57,7546.0,344.85,24.49,3.8,12072.0,3.0
2021-03,Baleno,Hatchback,Petrol,Manual/AMT,7.81,8268.0,645.73,23.46,3.9,11329.0,5.0
2021-03,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.7,8293.0,472.7,27.02,3.2,10041.0,3.0
2021-03,Ciaz,Sedan,Petrol,Manual,8.97,4314.0,386.97,21.1,4.9,9823.0,5.0
2021-03,Dzire,Sedan,Petrol,Manual/AMT,8.13,4173.0,339.26,23.32,4.2,9846.0,4.0
2021-03,Eeco,MPV,Petrol/CNG,Manual,5.56,4563.0,253.7,19.75,4.2,11043.0,4.0
2021-03,Ertiga,MPV,Petrol/CNG,Manual/AT,10.82,4616.0,499.45,19.77,3.8,12094.0,5.0
2021-03,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,8.51,6332.0,538.85,21.16,3.5,8069.0,4.0
2021-03,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,8.84,6146.0,543.31,21.28,3.8,10528.0,5.0
2021-03,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,5.14,8159.0,419.37,25.21,4.0,11516.0,4.0
2021-03,Swift,Hatchback,Petrol,Manual/AMT,8.38,7081.0,593.39,23.01,4.2,10134.0,3.0
2021-03,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.65,8803.0,497.37,23.34,5.0,14877.0,3.0
2021-03,XL6,MPV,Petrol/CNG,Manual/AT,11.82,4950.0,585.09,21.12,3.8,10489.0,5.0
2021-04,Baleno,Hatchback,Petrol,Manual/AMT,7.69,7302.0,561.52,22.69,4.5,12418.0,5.0
2021-04,Brezza,SUV,Petrol/CNG,Manual/AT,11.04,6770.0,747.41,20.59,3.9,9437.0,5.0
2021-04,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.51,9139.0,503.56,27.06,4.1,9562.0,3.0
2021-04,Ciaz,Sedan,Petrol,Manual,9.16,4400.0,403.04,20.64,4.4,11094.0,5.0
2021-04,Dzire,Sedan,Petrol,Manual/AMT,7.96,4022.0,320.15,23.11,4.2,8340.0,4.0
2021-04,Eeco,MPV,Petrol/CNG,Manual,6.04,4171.0,251.93,19.85,4.0,12075.0,4.0
2021-04,Ertiga,MPV,Petrol/CNG,Manual/AT,9.65,4198.0,405.11,20.57,4.8,12210.0,5.0
2021-04,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,10.02,7325.0,733.97,21.83,3.7,10056.0,4.0
2021-04,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,11.84,6157.0,728.99,21.4,4.5,12174.0,5.0
2021-04,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.88,10000.0,488.0,25.61,3.6,13821.0,4.0
2021-04,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.77,7609.0,439.04,23.36,4.6,8301.0,3.0
2021-04,XL6,MPV,Petrol/CNG,Manual/AT,12.22,5134.0,627.37,20.65,3.5,7753.0,5.0
2021-05,Alto K10,Hatchback,Petrol,Manual,4.8,7811.0,374.93,25.05,4.1,7354.0,3.0
2021-05,Baleno,Hatchback,Petrol,Manual/AMT,6.87,7171.0,492.65,23.65,4.3,8963.0,5.0
2021-05,Brezza,SUV,Petrol/CNG,Manual/AT,9.53,6457.0,615.35,20.92,5.0,12117.0,5.0
2021-05,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.71,8806.0,502.82,26.37,4.7,8268.0,3.0
2021-05,Ciaz,Sedan,Petrol,Manual,9.4,4545.0,427.23,20.25,4.2,10044.0,5.0
2021-05,Dzire,Sedan,Petrol,Manual/AMT,7.49,4576.0,342.74,23.73,4.5,11554.0,4.0
2021-05,Eeco,MPV,Petrol/CNG,Manual,5.89,4995.0,294.21,19.85,3.8,14572.0,4.0
2021-05,Ertiga,MPV,Petrol/CNG,Manual/AT,11.05,4077.0,450.51,19.94,4.0,13744.0,5.0
2021-05,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.77,6387.0,624.01,21.51,3.6,10288.0,4.0
2021-05,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,12.02,5751.0,691.27,19.34,4.3,9769.0,5.0
2021-05,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,5.27,7960.0,419.49,24.82,4.6,12996.0,4.0
2021-05,Swift,Hatchback,Petrol,Manual/AMT,8.14,8138.0,662.43,23.63,4.3,9240.0,3.0
2021-06,Alto K10,Hatchback,Petrol,Manual,4.22,7703.0,325.07,24.61,3.6,10905.0,3.0
2021-06,Baleno,Hatchback,Petrol,Manual/AMT,7.6,7106.0,540.06,23.61,4.0,9472.0,5.0
2021-06,Brezza,SUV,Petrol/CNG,Manual/AT,10.19,7022.0,715.54,19.39,4.3,10430.0,5.0
2021-06,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.49,7835.0,430.14,26.77,3.8,9380.0,3.0
2021-06,Ciaz,Sedan,Petrol,Manual,9.51,4394.0,417.87,19.86,3.7,10219.0,5.0
2021-06,Eeco,MPV,Petrol/CNG,Manual,5.58,4244.0,236.82,20.06,4.7,9266.0,4.0
2021-06,Ertiga,MPV,Petrol/CNG,Manual/AT,9.0,4591.0,413.19,20.41,3.8,12436.0,5.0
2021-06,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,9.21,7308.0,673.07,21.8,3.7,13056.0,4.0
2021-06,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,14.51,6208.0,900.78,21.81,3.7,10852.0,5.0
2021-06,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.64,8952.0,415.37,25.01,4.2,10284.0,4.0
2021-06,Swift,Hatchback,Petrol,Manual/AMT,7.76,9936.0,771.03,23.25,4.2,10205.0,3.0
2021-06,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.81,8432.0,489.9,23.12,4.5,12975.0,3.0
2021-06,XL6,MPV,Petrol/CNG,Manual/AT,13.04,4884.0,636.87,21.13,3.8,11408.0,5.0
2021-07,Alto K10,Hatchback,Petrol,Manual,4.66,8982.0,418.56,23.76,4.9,6029.0,3.0
2021-07,Baleno,Hatchback,Petrol,Manual/AMT,7.35,9234.0,678.7,23.1,4.5,8956.0,5.0
2021-07,Brezza,SUV,Petrol/CNG,Manual/AT,9.81,6133.0,601.65,19.77,3.9,12501.0,5.0
2021-07,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.94,8939.0,530.98,26.45,4.3,9744.0,3.0
2021-07,Ciaz,Sedan,Petrol,Manual,8.98,4469.0,401.32,20.47,4.4,11175.0,5.0
2021-07,Dzire,Sedan,Petrol,Manual/AMT,7.35,4386.0,322.37,22.89,3.5,10774.0,4.0
2021-07,Eeco,MPV,Petrol/CNG,Manual,5.76,4798.0,276.36,20.2,4.3,10976.0,4.0
2021-07,Ertiga,MPV,Petrol/CNG,Manual/AT,9.87,4512.0,445.33,21.3,3.5,8612.0,5.0
2021-07,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,7.91,7094.0,561.14,21.48,4.3,10687.0,4.0
2021-07,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,12.17,6816.0,829.51,20.89,4.6,9446.0,5.0
2021-07,Swift,Hatchback,Petrol,Manual/AMT,6.78,7345.0,497.99,23.25,4.3,11578.0,3.0
2021-07,XL6,MPV,Petrol/CNG,Manual/AT,12.14,5044.0,612.34,21.22,4.3,15897.0,5.0
2021-08,Alto K10,Hatchback,Petrol,Manual,4.45,6801.0,302.64,24.48,5.0,13064.0,3.0
2021-08,Baleno,Hatchback,Petrol,Manual/AMT,8.17,9484.0,774.84,23.43,3.8,10463.0,5.0
