Month,Car_Model,Segment,Fuel_Type,Engine_CC,Transmission,Seating_Capacity,Ex_Showroom_Price_Lakh,Units_Sold,Revenue_Crores,Mileage_KMPL,Customer_Rating,Annual_Service_Cost_INR,Warranty_Years,Safety_Rating_Stars
2023-12,Grand i10 Nios,Hatchback,Petrol,999,Manual,7.0,17.26,10935.0,18873.81,16.4,3.5,6465.0,3.0,4.0
2024-11,Verna,Sedan,Diesel,1197,Manual,5.0,10.62,13426.0,14258.41,19.3,4.6,4858.0,5.0,5.0
2023-12,Aura,Sedan,Petrol,1497,Manual,5.0,20.14,9512.0,19157.17,15.5,4.7,10920.0,5.0,5.0
2023-01,Aura,Sedan,Petrol,1197,Automatic,5.0,18.05,8742.0,15779.31,15.7,3.6,10290.0,5.0,3.0
2023-08,Grand i10 Nios,Hatchback,Diesel,1497,Manual,7.0,14.93,6619.0,9882.17,21.9,4.5,11138.0,3.0,5.0
2024-03,Verna,Sedan,Diesel,1999,Manual,5.0,9.34,3426.0,3199.88,17.0,4.1,4310.0,5.0,4.0
2023-04,Grand i10 Nios,Hatchback,Petrol,1197,Manual,5.0,18.29,12505.0,22871.64,21.8,4.5,4955.0,3.0,3.0
2023-12,Grand i10 Nios,Hatchback,Diesel,1197,Automatic,5.0,11.94,3336.0,3983.18,16.9,4.6,10130.0,3.0,4.0
2024-07,Creta,SUV,Diesel,1197,Automatic,7.0,14.68,2948.0,4327.66,19.0,4.0,10688.0,3.0,4.0
2023-04,Creta,SUV,Petrol,999,Automatic,5.0,20.89,4314.0,9011.95,17.8,4.2,5238.0,3.0,3.0
2024-09,Venue,SUV,Petrol,1197,Manual,5.0,15.6,7149.0,11152.44,18.6,4.1,4514.0,5.0,4.0
2023-02,Alcazar,SUV,Diesel,1197,Manual,5.0,19.46,3169.0,6166.87,15.9,4.5,5830.0,5.0,4.0
2023-12,Grand i10 Nios,Hatchback,Diesel,1497,Manual,7.0,18.53,13780.0,25534.34,16.8,3.9,11682.0,5.0,5.0
2023-02,Tucson,SUV,Petrol,999,Automatic,5.0,24.79,12440.0,30838.76,18.1,4.1,9133.0,5.0,5.0
2024-03,Exter,SUV,Petrol,1497,Manual,5.0,19.92,12975.0,25846.2,21.9,4.4,7888.0,5.0,4.0
2023-10,Venue,SUV,Diesel,999,Automatic,5.0,23.94,12088.0,28938.67,22.0,4.8,8167.0,5.0,3.0
2023-01,Verna,Sedan,Diesel,1197,Automatic,5.0,6.33,2775.0,1756.58,19.1,3.6,4036.0,5.0,3.0
2024-07,Alcazar,SUV,Petrol,1999,Automatic,7.0,22.57,7016.0,15835.11,17.0,4.2,11175.0,3.0,4.0
2024-11,Aura,Sedan,Diesel,1999,Automatic,7.0,11.86,3642.0,4319.41,17.5,4.1,9672.0,5.0,4.0
2024-07,Creta,SUV,Petrol,1197,Automatic,5.0,22.98,13936.0,32024.93,20.2,4.3,7676.0,3.0,4.0
2024-02,Alcazar,SUV,Diesel,1999,Automatic,5.0,9.57,3915.0,3746.66,17.5,3.6,9377.0,5.0,5.0
2023-03,i20,Hatchback,Diesel,1497,Manual,5.0,23.37,5977.0,13968.25,19.7,4.5,8117.0,5.0,3.0
2023-09,Tucson,SUV,Petrol,1999,Manual,5.0,25.0,3514.0,8785.0,20.5,4.0,7201.0,3.0,5.0
2023-08,Venue,SUV,Diesel,999,Automatic,5.0,11.2,14160.0,15859.2,20.3,4.0,10128.0,5.0,4.0
2024-03,Tucson,SUV,Diesel,999,Manual,5.0,11.34,874.0,991.12,19.1,3.6,5979.0,3.0,4.0
2023-04,Alcazar,SUV,Diesel,1999,Automatic,5.0,17.27,1003.0,1732.18,17.7,3.7,4255.0,5.0,5.0
2024-01,Alcazar,SUV,Diesel,999,Automatic,5.0,17.55,10623.0,18643.36,18.3,4.7,6308.0,3.0,5.0
2023-04,i20,Hatchback,Diesel,1999,Manual,5.0,19.64,13404.0,26325.46,18.0,3.8,4036.0,3.0,4.0
2024-07,Aura,Sedan,Petrol,1197,Automatic,5.0,17.71,12526.0,22183.55,15.4,4.2,5402.0,5.0,3.0
2024-08,Venue,SUV,Petrol,1197,Automatic,5.0,6.24,11118.0,6937.63,20.7,4.2,6706.0,3.0,4.0
2024-05,Aura,Sedan,Diesel,1197,Manual,5.0,22.96,3978.0,9133.49,19.4,4.0,7353.0,3.0,5.0
2024-10,Venue,SUV,Diesel,1497,Manual,5.0,9.94,3222.0,3202.67,19.1,4.3,10202.0,5.0,3.0
2024-01,Alcazar,SUV,Diesel,1197,Manual,7.0,16.64,6525.0,10857.6,15.1,4.7,7168.0,5.0,5.0
2023-11,Aura,Sedan,Diesel,1197,Automatic,5.0,24.6,12611.0,31023.06,20.2,4.3,10148.0,5.0,3.0
2023-08,Verna,Sedan,Diesel,999,Automatic,5.0,22.52,3293.0,7415.84,20.0,3.9,4144.0,3.0,4.0
2024-09,Grand i10 Nios,Hatchback,Diesel,1497,Manual,5.0,23.97,2385.0,5716.84,20.3,4.7,5926.0,5.0,4.0
2023-06,Venue,SUV,Diesel,1497,Automatic,5.0,10.65,859.0,914.84,18.4,3.7,9613.0,5.0,3.0
2023-03,Venue,SUV,Diesel,1497,Automatic,5.0,18.09,1242.0,2246.78,20.9,3.7,10428.0,5.0,3.0
2023-05,i20,Hatchback,Petrol,1497,Manual,5.0,11.96,6118.0,7317.13,15.3,4.5,8207.0,5.0,4.0
2024-04,Verna,Sedan,Petrol,1197,Manual,7.0,10.06,1940.0,1951.64,16.1,3.7,4924.0,3.0,4.0
2023-07,Alcazar,SUV,Diesel,1999,Automatic,5.0,21.47,7752.0,16643.54,16.3,4.5,4739.0,3.0,4.0
2023-05,Alcazar,SUV,Petrol,1197,Manual,5.0,8.22,10491.0,8623.6,15.9,4.4,11664.0,5.0,4.0
2023-12,Verna,Sedan,Petrol,1497,Automatic,5.0,7.87,6692.0,5266.6,17.6,3.8,11639.0,5.0,5.0
2024-02,Tucson,SUV,Petrol,1999,Manual,5.0,19.49,1718.0,3348.38,16.6,4.3,6323.0,3.0,4.0
2024-08,Exter,SUV,Petrol,1197,Automatic,5.0,19.32,10964.0,21182.45,18.6,4.0,5370.0,3.0,5.0
2023-12,Creta,SUV,Diesel,1999,Manual,5.0,20.05,10990.0,22034.95,20.4,3.8,11317.0,5.0,4.0
2023-05,Alcazar,SUV,Diesel,1999,Manual,5.0,14.04,7556.0,10608.62,19.9,3.9,8032.0,5.0,4.0
2024-01,Creta,SUV,Petrol,1197,Automatic,5.0,16.39,1816.0,2976.42,16.7,4.1,8445.0,3.0,3.0
2023-11,Exter,SUV,Petrol,1197,Manual,5.0,13.04,1196.0,1559.58,19.9,4.3,9682.0,3.0,5.0
2023-09,Exter,SUV,Diesel,1197,Manual,5.0,6.83,3368.0,2300.34,21.7,3.6,11320.0,3.0,4.0
2024-07,Verna,Sedan,Petrol,1999,Automatic,5.0,8.39,13849.0,11619.31,19.4,3.9,11418.0,5.0,5.0
2024-02,Aura,Sedan,Diesel,1497,Manual,7.0,10.88,14854.0,16161.15,19.4,4.1,9230.0,5.0,3.0
2023-02,Aura,Sedan,Diesel,1197,Automatic,5.0,23.21,11202.0,25999.84,21.4,4.3,11516.0,3.0,4.0
2024-05,i20,Hatchback,Diesel,1197,Manual,5.0,12.26,3885.0,4763.01,18.8,4.0,7553.0,3.0,3.0
2023-02,i20,Hatchback,Petrol,999,Automatic,5.0,12.48,13060.0,16298.88,20.3,4.6,7574.0,5.0,3.0
2024-11,Alcazar,SUV,Petrol,1497,Automatic,5.0,11.66,5682.0,6625.21,15.8,4.5,8762.0,5.0,5.0
2023-01,Grand i10 Nios,Hatchback,Petrol,1497,Manual,7.0,16.38,7740.0,12678.12,19.2,3.6,10439.0,5.0,3.0
2023-08,Venue,SUV,Diesel,999,Automatic,5.0,18.34,2471.0,4531.81,16.4,3.8,10766.0,5.0,4.0
2024-03,Alcazar,SUV,Diesel,999,Manual,5.0,14.9,12162.0,18121.38,17.2,4.4,5326.0,3.0,4.0
2024-02,Tucson,SUV,Diesel,1197,Manual,7.0,10.39,7289.0,7573.27,21.7,4.5,7875.0,5.0,5.0
2023-10,Verna,Sedan,Petrol,1197,Automatic,7.0,11.25,3814.0,4290.75,21.2,4.6,9767.0,3.0,5.0
2023-12,Alcazar,SUV,Petrol,999,Automatic,5.0,20.53,12789.0,26255.82,21.8,4.2,10980.0,3.0,5.0
2024-04,Creta,SUV,Petrol,1999,Manual,5.0,22.18,3732.0,8277.58,16.9,4.4,10409.0,5.0,3.0
2023-09,Grand i10 Nios,Hatchback,Diesel,999,Automatic,5.0,9.09,11850.0,10771.65,20.6,4.4,5234.0,3.0,5.0
2024-10,Tucson,SUV,Petrol,999,Manual,5.0,11.35,4953.0,5621.65,19.0,3.6,5014.0,5.0,3.0
2023-12,Alcazar,SUV,Diesel,1999,Automatic,5.0,21.56,3511.0,7569.72,16.8,3.8,8741.0,3.0,4.0
2024-06,Venue,SUV,Petrol,1999,Automatic,5.0,9.6,11247.0,10797.12,20.5,4.1,4487.0,3.0,4.0
2024-04,Venue,SUV,Diesel,999,Manual,5.0,11.18,10285.0,11498.63,19.0,4.3,5490.0,3.0,3.0
2024-04,Verna,Sedan,Diesel,1197,Automatic,5.0,12.94,8249.0,10674.21,18.7,4.3,6061.0,5.0,5.0
2024-08,Exter,SUV,Diesel,999,Automatic,5.0,8.16,5066.0,4133.86,18.7,4.0,4854.0,3.0,5.0
2024-08,Aura,Sedan,Diesel,999,Automatic,5.0,22.02,11276.0,24829.75,16.6,4.0,9394.0,3.0,5.0
2023-07,i20,Hatchback,Diesel,999,Manual,7.0,23.08,5233.0,12077.76,17.3,3.6,10137.0,3.0,4.0
2024-07,Exter,SUV,Petrol,1197,Manual,5.0,17.28,10716.0,18517.25,16.9,4.2,4880.0,5.0,5.0
2023-10,Exter,SUV,Petrol,999,Automatic,5.0,14.96,12082.0,18074.67,19.0,3.9,7451.0,5.0,3.0
2024-10,i20,Hatchback,Petrol,1999,Manual,7.0,6.4,8626.0,5520.64,20.7,4.0,4915.0,3.0,3.0
2023-10,Alcazar,SUV,Diesel,1497,Automatic,7.0,16.79,10434.0,17518.69,20.5,4.3,10054.0,5.0,5.0
2023-03,Tucson,SUV,Petrol,1197,Automatic,5.0,21.68,14287.0,30974.22,16.2,4.2,6381.0,5.0,4.0
2024-03,Aura,Sedan,Petrol,1497,Manual,7.0,12.57,6683.0,8400.53,18.1,3.6,6457.0,3.0,5.0
2023-11,Creta,SUV,Diesel,1197,Manual,5.0,16.34,5719.0,9344.85,17.3,3.7,7653.0,3.0,4.0
2023-03,Exter,SUV,Petrol,1999,Manual,7.0,9.0,7664.0,6897.6,16.0,4.7,8776.0,5.0,3.0
2023-05,Creta,SUV,Petrol,1197,Automatic,7.0,23.87,8127.0,19399.15,15.7,3.9,5758.0,5.0,5.0
2023-02,Grand i10 Nios,Hatchback,Petrol,999,Automatic,5.0,21.52,14945.0,32161.64,21.0,3.8,9840.0,5.0,5.0
2024-08,Aura,Sedan,Diesel,999,Manual,5.0,11.55,6569.0,7587.2,20.1,4.2,7511.0,5.0,5.0
2024-05,Creta,SUV,Diesel,1497,Manual,7.0,15.9,9294.0,14777.46,20.9,3.8,7263.0,3.0,4.0
2024-02,Alcazar,SUV,Diesel,1497,Manual,7.0,8.37,10253.0,8581.76,16.3,4.1,10149.0,5.0,4.0
2024-08,Creta,SUV,Diesel,1497,Automatic,5.0,14.41,3928.0,5660.25,20.0,4.0,8725.0,5.0,3.0
2024-10,Tucson,SUV,Diesel,1999,Automatic,5.0,7.38,12013.0,8865.59,20.2,3.6,8139.0,5.0,3.0
2024-03,Creta,SUV,Diesel,999,Manual,5.0,9.13,12557.0,11464.54,15.3,4.5,9295.0,3.0,4.0
2024-11,Verna,Sedan,Petrol,1197,Automatic,7.0,9.28,11803.0,10953.18,20.4,3.8,6431.0,3.0,4.0
2023-08,Verna,Sedan,Petrol,1999,Manual,5.0,8.92,12468.0,11121.46,21.2,3.6,9082.0,3.0,3.0
2024-02,Alcazar,SUV,Petrol,1497,Automatic,5.0,7.85,6612.0,5190.42,15.9,3.6,8499.0,3.0,5.0
2023-03,Alcazar,SUV,Diesel,1497,Manual,5.0,15.53,4549.0,7064.6,19.0,3.6,8641.0,3.0,3.0
2023-04,Grand i10 Nios,Hatchback,Petrol,1497,Automatic,7.0,19.07,796.0,1517.97,18.4,3.9,10190.0,3.0,5.0
2024-09,i20,Hatchback,Petrol,1197,Automatic,5.0,9.65,6746.0,6509.89,15.7,4.5,7504.0,3.0,3.0
2024-06,Verna,Sedan,Diesel,1999,Automatic,7.0,15.41,11507.0,17732.29,21.2,3.9,10062.0,5.0,5.0
2023-11,Verna,Sedan,Petrol,1999,Manual,5.0,24.09,4118.0,9920.26,22.0,4.0,5039.0,5.0,3.0
2023-12,Alcazar,SUV,Diesel,1999,Automatic,5.0,19.83,3333.0,6609.34,16.5,4.4,5461.0,3.0,5.0
2024-01,Venue,SUV,Diesel,1497,Manual,5.0,13.56,14343.0,19449.11,18.9,4.6,11582.0,5.0,3.0
2024-04,Creta,SUV,Diesel,1497,Manual,7.0,12.66,11267.0,14264.02,20.0,3.6,8702.0,5.0,5.0
2023-04,Exter,SUV,Petrol,1497,Manual,7.0,18.7,9770.0,18269.9,21.0,4.4,6742.0,5.0,3.0
2024-12,Tucson,SUV,Petrol,1497,Manual,5.0,16.2,12955.0,20987.1,15.8,4.2,7150.0,5.0,5.0
2024-02,Creta,SUV,Petrol,1497,Manual,7.0,19.3,9670.0,18663.1,15.2,4.7,6725.0,5.0,5.0
2023-01,i20,Hatchback,Diesel,1497,Manual,5.0,22.77,9751.0,22203.03,16.9,4.2,8581.0,3.0,5.0
2024-10,Tucson,SUV,Diesel,999,Manual,5.0,14.85,2205.0,3274.43,18.6,3.9,6762.0,3.0,5.0
2023-04,Creta,SUV,Petrol,1197,Automatic,7.0,7.92,14418.0,11419.06,15.5,3.9,4760.0,5.0,4.0
2023-01,Alcazar,SUV,Diesel,1197,Automatic,5.0,12.69,6178.0,7839.88,21.1,4.1,4372.0,3.0,3.0
2023-02,Grand i10 Nios,Hatchback,Petrol,1497,Manual,7.0,19.93,6124.0,12205.13,15.6,3.7,5133.0,3.0,5.0
2023-12,i20,Hatchback,Petrol,1197,Automatic,5.0,23.91,5754.0,13757.81,18.3,3.8,10545.0,5.0,5.0
2024-02,Tucson,SUV,Diesel,999,Automatic,7.0,14.34,9137.0,13102.46,20.2,4.5,4018.0,5.0,5.0
2024-04,Venue,SUV,Petrol,1497,Automatic,7.0,19.19,12459.0,23908.82,17.2,4.2,7552.0,3.0,3.0
2023-03,Verna,Sedan,Petrol,1197,Automatic,7.0,24.76,1817.0,4498.89,17.0,4.7,5296.0,5.0,4.0
2024-05,Venue,SUV,Diesel,1999,Automatic,5.0,11.09,14588.0,16178.09,16.7,3.8,10968.0,3.0,5.0
2023-05,i20,Hatchback,Petrol,1497,Manual,5.0,23.6,9717.0,22932.12,16.8,3.7,4437.0,3.0,3.0
2023-09,Verna,Sedan,Diesel,1197,Manual,5.0,23.82,14844.0,35358.41,20.2,3.5,10201.0,3.0,5.0
2024-09,Tucson,SUV,Petrol,1197,Manual,5.0,6.1,11765.0,7176.65,15.1,4.5,7627.0,5.0,5.0
2024-04,Exter,SUV,Diesel,1197,Automatic,5.0,23.66,7122.0,16850.65,17.8,4.0,10268.0,5.0,3.0
2024-06,Verna,Sedan,Diesel,1497,Automatic,5.0,12.58,14294.0,17981.85,17.5,3.9,9123.0,5.0,5.0
2024-05,i20,Hatchback,Petrol,1999,Manual,7.0,16.29,3030.0,4935.87,17.7,4.5,11782.0,3.0,5.0
2023-05,Alcazar,SUV,Petrol,1197,Automatic,5.0,23.13,8654.0,20016.7,21.0,4.2,5433.0,5.0,3.0
2023-03,Aura,Sedan,Petrol,1497,Automatic,5.0,13.87,14070.0,19515.09,16.6,4.1,4742.0,3.0,4.0
2024-08,Venue,SUV,Diesel,1999,Manual,5.0,15.13,5510.0,8336.63,18.8,4.5,6656.0,3.0,3.0
2024-09,Verna,Sedan,Petrol,1999,Manual,7.0,6.53,8438.0,5510.01,17.4,4.0,7736.0,3.0,5.0
2024-09,Creta,SUV,Petrol,1497,Automatic,5.0,13.58,3043.0,4132.39,19.5,4.8,11000.0,3.0,4.0
2024-09,Exter,SUV,Diesel,1999,Manual,7.0,21.46,6851.0,14702.25,20.1,4.2,6617.0,5.0,4.0
2023-04,Venue,SUV,Petrol,1497,Manual,5.0,22.17,5777.0,12807.61,20.5,4.2,7313.0,5.0,4.0
2024-11,Verna,Sedan,Diesel,999,Automatic,7.0,10.79,12649.0,13648.27,15.7,3.9,5357.0,3.0,3.0
2023-09,Aura,Sedan,Petrol,1999,Automatic,5.0,13.93,12612.0,17568.52,17.1,3.5,11343.0,3.0,3.0
2023-05,Alcazar,SUV,Diesel,1197,Automatic,5.0,22.28,2880.0,6416.64,19.5,3.6,8558.0,5.0,5.0
2024-12,Creta,SUV,Petrol,1197,Automatic,7.0,17.65,8917.0,15738.5,16.8,4.1,11333.0,5.0,4.0
2024-01,Verna,Sedan,Petrol,999,Manual,5.0,8.88,11633.0,10330.1,16.1,4.8,11164.0,5.0,5.0
2023-08,Alcazar,SUV,Petrol,1999,Automatic,5.0,15.32,3094.0,4740.01,19.6,3.8,6983.0,3.0,5.0
2024-09,Venue,SUV,Petrol,1999,Manual,7.0,13.65,10188.0,13906.62,18.9,4.0,11041.0,3.0,5.0
2024-06,i20,Hatchback,Petrol,999,Manual,7.0,21.06,3819.0,8042.81,18.6,3.9,8009.0,3.0,3.0
2023-05,Verna,Sedan,Petrol,1197,Automatic,5.0,18.08,13645.0,24670.16,17.5,4.4,11946.0,3.0,5.0
2024-04,Venue,SUV,Diesel,999,Automatic,5.0,14.99,4394.0,6586.61,16.5,3.9,5015.0,5.0,5.0
2023-02,Creta,SUV,Petrol,1999,Manual,5.0,8.59,1239.0,1064.3,16.2,3.7,9339.0,5.0,3.0
2023-07,Aura,Sedan,Petrol,1999,Automatic,7.0,21.67,6263.0,13571.92,18.2,4.0,5115.0,5.0,3.0
2024-08,Alcazar,SUV,Petrol,999,Manual,5.0,20.49,1049.0,2149.4,18.5,4.7,8034.0,3.0,4.0
2024-12,i20,Hatchback,Petrol,1197,Manual,5.0,7.89,13257.0,10459.77,16.1,4.3,6769.0,5.0,5.0
2024-09,Creta,SUV,Diesel,999,Automatic,5.0,20.53,13256.0,27214.57,21.9,3.7,8534.0,3.0,5.0
2023-03,Verna,Sedan,Petrol,999,Manual,5.0,13.56,7050.0,9559.8,18.0,4.4,10982.0,5.0,5.0
2023-02,Grand i10 Nios,Hatchback,Diesel,1197,Manual,5.0,23.57,8290.0,19539.53,20.4,4.7,8145.0,3.0,5.0
2023-11,Venue,SUV,Diesel,1197,Automatic,7.0,9.06,1178.0,1067.27,20.7,3.8,8427.0,5.0,5.0
2023-11,Creta,SUV,Petrol,1497,Automatic,5.0,13.14,10895.0,14316.03,21.1,3.8,7275.0,5.0,5.0
2024-08,Creta,SUV,Petrol,1197,Manual,7.0,18.9,5802.0,10965.78,15.3,4.4,4723.0,3.0,4.0
2023-03,Aura,Sedan,Diesel,1497,Manual,5.0,24.56,1071.0,2630.38,18.3,3.6,11470.0,5.0,5.0
2024-09,Grand i10 Nios,Hatchback,Diesel,999,Automatic,5.0,13.35,870.0,1161.45,17.2,3.7,7901.0,3.0,5.0
2024-12,i20,Hatchback,Petrol,999,Manual,7.0,17.91,6152.0,11018.23,15.3,4.0,5464.0,5.0,3.0
2023-06,Grand i10 Nios,Hatchback,Diesel,1999,Automatic,5.0,6.95,9849.0,6845.06,20.5,4.4,9875.0,3.0,5.0
2023-10,i20,Hatchback,Diesel,1497,Automatic,5.0,23.58,14390.0,33931.62,19.7,4.7,6639.0,3.0,4.0
2023-05,Venue,SUV,Petrol,1197,Manual,5.0,19.65,13349.0,26230.78,17.1,3.6,11557.0,3.0,5.0
2024-03,Grand i10 Nios,Hatchback,Petrol,1999,Automatic,5.0,23.62,6859.0,16200.96,19.5,4.7,11070.0,5.0,3.0
2023-12,Tucson,SUV,Petrol,1999,Manual,5.0,19.26,6537.0,12590.26,21.3,3.6,8902.0,3.0,3.0
2023-07,Exter,SUV,Petrol,1197,Manual,5.0,24.94,9958.0,24835.25,17.5,3.9,7943.0,3.0,3.0
2023-05,Venue,SUV,Petrol,1999,Automatic,7.0,24.45,13171.0,32203.1,17.2,4.5,6665.0,5.0,4.0
2024-05,Aura,Sedan,Diesel,1497,Automatic,5.0,7.05,10022.0,7065.51,18.0,3.8,11107.0,3.0,5.0
2023-01,Alcazar,SUV,Diesel,999,Manual,7.0,12.69,4158.0,5276.5,17.1,3.8,8399.0,3.0,3.0
2023-04,Exter,SUV,Petrol,999,Automatic,5.0,24.13,10352.0,24979.38,21.8,4.1,4746.0,5.0,4.0
2024-08,Grand i10 Nios,Hatchback,Petrol,999,Automatic,5.0,21.01,9171.0,19268.27,17.9,4.5,6886.0,5.0,5.0
